idquest,cluster,target
12411606901.0,0,1
12411700101.0,0,0
12411700201.0,0,1
12411700501.0,0,1
12411700601.0,0,1
12411701101.0,0,0
12411701301.0,0,1
12411702101.0,0,1
12411702201.0,0,0
12411702601.0,0,0
12411702801.0,0,1
12411702901.0,0,1
12411703201.0,0,0
12411704101.0,0,0
12411704102.0,0,1
12411704402.0,0,1
12411705101.0,0,0
12411705201.0,0,1
12411705601.0,0,1
12411706002.0,0,1
12411706003.0,0,1
12411706201.0,0,0
12411801301.0,0,1
12411801401.0,0,1
12411801801.0,0,0
12411802301.0,0,0
12411802701.0,0,0
12411802801.0,0,0
12411802901.0,0,1
12411803101.0,0,1
12411803301.0,0,0
12411803901.0,0,0
12411804001.0,0,1
12411804101.0,0,0
12411804401.0,0,1
12411804601.0,0,0
12411805701.0,0,1
12411805801.0,0,0
12411805802.0,0,0
12411805901.0,0,0
12411806301.0,0,1
12411806401.0,0,1
12411806801.0,0,0
12411807601.0,0,0
12411900101.0,0,1
12411900102.0,0,1
12411900301.0,0,1
12411900701.0,0,0
12411900704.0,0,0
12411903101.0,0,0
12411903501.0,0,1
12411903601.0,0,1
12411903701.0,0,0
12422000401.0,0,0
12422001201.0,0,1
12422100102.0,0,0
12422100201.0,0,1
12422100701.0,0,1
12422101001.0,0,0
12422101101.0,0,0
12422101401.0,0,1
12422101601.0,0,0
12422101701.0,0,1
12422103101.0,0,0
12422200201.0,0,0
12422200501.0,0,0
12422200601.0,0,0
12422201701.0,0,0
12422201901.0,0,0
12422202401.0,0,0
12422300501.0,0,1
12422300901.0,0,0
12422301001.0,0,0
12422301501.0,0,0
12422301601.0,0,1
12422301901.0,0,0
12422302201.0,0,0
12422302501.0,0,1
12422302601.0,0,1
12422303102.0,0,0
12422303201.0,0,1
12422303401.0,0,0
12422400301.0,0,1
12422400901.0,0,1
12422401001.0,0,0
12422402401.0,0,1
12422402701.0,0,1
12422402801.0,0,1
12422500102.0,0,0
12422500103.0,0,1
12422500201.0,0,1
12422500701.0,0,1
12422500801.0,0,1
12422500901.0,0,1
12422600601.0,0,0
12422600702.0,0,0
12422602102.0,0,0
12422700502.0,0,1
12422701501.0,0,0
12422800401.0,0,0
12422801001.0,0,1
12422801801.0,0,1
12422900401.0,0,1
12423000301.0,0,1
12423000601.0,0,0
12423001501.0,0,1
12423002101.0,0,1
12423002303.0,0,1
12423002501.0,0,1
12423002701.0,0,1
12423002901.0,0,0
12423100101.0,0,0
12423100204.0,0,0
12423101203.0,0,1
12423102001.0,0,0
12423102201.0,0,0
12423200301.0,0,1
12423201301.0,0,1
12423202101.0,0,0
12423202201.0,0,0
12423202701.0,0,1
12423203101.0,0,0
12423300301.0,0,0
12423301301.0,0,0
12423301401.0,0,0
12423301501.0,0,1
12423301701.0,0,1
12423302801.0,0,0
12423302902.0,0,1
12423303601.0,0,0
12423400101.0,0,0
12423400501.0,0,0
12423402001.0,0,0
12423402301.0,0,0
12423402601.0,0,0
12423403101.0,0,0
12423500701.0,0,1
12423501301.0,0,1
12423501302.0,0,1
12423501401.0,0,0
12423501601.0,0,0
12423501701.0,0,0
12423501901.0,0,1
12423502101.0,0,1
12423502201.0,0,0
12423502401.0,0,1
12423600201.0,0,1
12423600401.0,0,1
12423600501.0,0,0
12423600801.0,0,1
12423600901.0,0,1
12423601501.0,0,0
12423601801.0,0,1
12423601901.0,0,1
12423602001.0,0,0
12423602601.0,0,0
12423602701.0,0,1
12423602702.0,0,0
12423602703.0,0,0
12423602801.0,0,1
12423602901.0,0,1
12423603201.0,0,1
12423603501.0,0,0
12423604101.0,0,0
12423700501.0,0,1
12423700701.0,0,1
12423700801.0,0,1
12423701001.0,0,0
12423701101.0,0,0
12423701701.0,0,0
12423701801.0,0,0
12423702301.0,0,0
12423800401.0,0,1
12423800501.0,0,1
12423800601.0,0,0
12423800801.0,0,1
12423800901.0,0,0
12423801001.0,0,1
12423801101.0,0,1
12423801301.0,0,1
12423801501.0,0,1
12423801601.0,0,1
12423801701.0,0,1
12423900401.0,0,1
12423900501.0,0,0
12423900701.0,0,0
12423901001.0,0,0
12423901301.0,0,1
12423901902.0,0,1
12423902201.0,0,1
12423902801.0,0,1
12423903201.0,0,1
12423903301.0,0,0
12424000901.0,0,1
